step,y,x,rotation
107,42324.35714,-304907,175
108,-3219.178571,-295622,175
109,-48762.71429,-286337,175
110,-94306.25,-277052,175
111,-139849.7857,-267767,175
112,-185393.3214,-258482,175
113,-230936.8571,-249197,175
114,-276480.3929,-239912,175
115,-322023.9286,-230627,175
116,-367567.4643,-221342,175
117,-411540.5333,-212377.1724,175
118,2137327,-732017,175
119,2137327,-732017,120
120,2093353.931,-723052.1724,120
121,2047810.395,-713767.1724,120
122,2002266.86,-704482.1724,120
123,1956723.324,-695197.1724,120
124,1911179.788,-685912.1724,120
125,1865636.252,-676627.1724,120
126,1820092.717,-667342.1724,120
127,1774549.181,-658057.1724,120
128,1729005.645,-648772.1724,120
129,1683462.11,-639487.1724,120
130,1637918.574,-630202.1724,120
131,1592375.038,-620917.1724,120
132,1546831.502,-611632.1724,120
133,1501287.967,-602347.1724,120
134,1455744.431,-593062.1724,120
135,1410200.895,-583777.1724,120
136,1364657.36,-574492.1724,120
137,1319113.824,-565207.1724,120
138,1273570.288,-555922.1724,120
139,1228026.752,-546637.1724,120
140,1182483.217,-537352.1724,120
141,1136939.681,-528067.1724,120
142,1091396.145,-518782.1724,120
143,1045852.61,-509497.1724,120
144,1000309.074,-500212.1724,120
145,954765.5382,-490927.1724,120
146,909222.0025,-481642.1724,120
147,863678.4667,-472357.1724,120
148,862108,-472037,120
149,816564.4643,-462752,175
150,771020.9286,-453467,175
151,725477.3929,-444182,175
152,679933.8571,-434897,175
153,634390.3214,-425612,175
154,588846.7857,-416327,175
155,543303.25,-407042,175
156,497759.7143,-397757,175
157,452216.1786,-388472,175
158,406672.6429,-379187,175
159,361129.1071,-369902,175
160,315585.5714,-360617,175
161,270042.0357,-351332,175
162,224498.5,-342047,175
163,178954.9643,-332762,175
164,133411.4286,-323477,175
165,87867.89286,-314192,175
166,42324.35714,-304907,175
167,-3219.178571,-295622,175
168,-48762.71429,-286337,175
169,-94306.25,-277052,175
170,-139849.7857,-267767,175
171,-185393.3214,-258482,175
172,-230936.8571,-249197,175
173,-276480.3929,-239912,175
174,-322023.9286,-230627,175
175,-367567.4643,-221342,175
176,-411540.5333,-212377.1724,175
177,2137327,-732017,175
178,2137327,-732017,120
179,2093353.931,-723052.1724,120
180,2047810.395,-713767.1724,120
181,2002266.86,-704482.1724,120
182,1956723.324,-695197.1724,120
183,1911179.788,-685912.1724,120
184,1865636.252,-676627.1724,120
185,1820092.717,-667342.1724,120
186,1774549.181,-658057.1724,120
187,1729005.645,-648772.1724,120
188,1683462.11,-639487.1724,120
189,1637918.574,-630202.1724,120
190,1592375.038,-620917.1724,120
191,1546831.502,-611632.1724,120
192,1501287.967,-602347.1724,120
193,1455744.431,-593062.1724,120
194,1410200.895,-583777.1724,120
195,1364657.36,-574492.1724,120
196,1319113.824,-565207.1724,120
197,1273570.288,-555922.1724,120
198,1228026.752,-546637.1724,120
199,1182483.217,-537352.1724,120
200,1136939.681,-528067.1724,120
201,1091396.145,-518782.1724,120
202,1045852.61,-509497.1724,120
203,1000309.074,-500212.1724,120
204,954765.5382,-490927.1724,120
205,909222.0025,-481642.1724,120
206,863678.4667,-472357.1724,120
207,862108,-472037,120
208,816564.4643,-462752,175
209,771020.9286,-453467,175
210,725477.3929,-444182,175
211,679933.8571,-434897,175
212,634390.3214,-425612,175
213,588846.7857,-416327,175
214,543303.25,-407042,175
215,497759.7143,-397757,175
216,452216.1786,-388472,175
217,406672.6429,-379187,175
218,361129.1071,-369902,175
219,315585.5714,-360617,175
220,270042.0357,-351332,175
221,224498.5,-342047,175
222,178954.9643,-332762,175
223,133411.4286,-323477,175
224,87867.89286,-314192,175
225,42324.35714,-304907,175
226,-3219.178571,-295622,175
227,-48762.71429,-286337,175
228,-94306.25,-277052,175
229,-139849.7857,-267767,175
230,-185393.3214,-258482,175
231,-230936.8571,-249197,175
232,-276480.3929,-239912,175
233,-322023.9286,-230627,175
234,-367567.4643,-221342,175
235,-411540.5333,-212377.1724,175
236,2137327,-732017,175
237,2137327,-732017,120
238,2093353.931,-723052.1724,120
239,2047810.395,-713767.1724,120
240,2002266.86,-704482.1724,120
241,1956723.324,-695197.1724,120
242,1911179.788,-685912.1724,120
243,1865636.252,-676627.1724,120
244,1820092.717,-667342.1724,120
245,1774549.181,-658057.1724,120
246,1729005.645,-648772.1724,120
247,1683462.11,-639487.1724,120
248,1637918.574,-630202.1724,120
249,1592375.038,-620917.1724,120
250,1546831.502,-611632.1724,120
251,1501287.967,-602347.1724,120
252,1455744.431,-593062.1724,120
253,1410200.895,-583777.1724,120
254,1364657.36,-574492.1724,120
255,1319113.824,-565207.1724,120
256,1273570.288,-555922.1724,120
257,1228026.752,-546637.1724,120
258,1182483.217,-537352.1724,120
259,1136939.681,-528067.1724,120
260,1091396.145,-518782.1724,120
261,1045852.61,-509497.1724,120
262,1000309.074,-500212.1724,120
263,954765.5382,-490927.1724,120
264,909222.0025,-481642.1724,120
265,863678.4667,-472357.1724,120
266,862108,-472037,120
267,816564.4643,-462752,175
268,771020.9286,-453467,175
269,725477.3929,-444182,175
270,679933.8571,-434897,175
271,634390.3214,-425612,175
272,588846.7857,-416327,175
273,543303.25,-407042,175
274,497759.7143,-397757,175
275,452216.1786,-388472,175
276,406672.6429,-379187,175
277,361129.1071,-369902,175
278,315585.5714,-360617,175
279,270042.0357,-351332,175
280,224498.5,-342047,175
281,178954.9643,-332762,175
282,133411.4286,-323477,175
283,87867.89286,-314192,175
284,42324.35714,-304907,175
285,-3219.178571,-295622,175
286,-48762.71429,-286337,175
287,-94306.25,-277052,175
288,-139849.7857,-267767,175
289,-185393.3214,-258482,175
290,-230936.8571,-249197,175
291,-276480.3929,-239912,175
292,-322023.9286,-230627,175
293,-367567.4643,-221342,175
294,-411540.5333,-212377.1724,175
295,2137327,-732017,175
296,2137327,-732017,120
297,2093353.931,-723052.1724,120
298,2047810.395,-713767.1724,120
299,2002266.86,-704482.1724,120
300,1956723.324,-695197.1724,120
301,1911179.788,-685912.1724,120
302,1865636.252,-676627.1724,120
303,1820092.717,-667342.1724,120
304,1774549.181,-658057.1724,120
305,1729005.645,-648772.1724,120
306,1683462.11,-639487.1724,120
307,1637918.574,-630202.1724,120
308,1592375.038,-620917.1724,120
309,1546831.502,-611632.1724,120
310,1501287.967,-602347.1724,120
311,1455744.431,-593062.1724,120
312,1410200.895,-583777.1724,120
313,1364657.36,-574492.1724,120
314,1319113.824,-565207.1724,120
315,1273570.288,-555922.1724,120
316,1228026.752,-546637.1724,120
317,1182483.217,-537352.1724,120
318,1136939.681,-528067.1724,120
319,1091396.145,-518782.1724,120
320,1045852.61,-509497.1724,120
321,1000309.074,-500212.1724,120
322,954765.5382,-490927.1724,120
323,909222.0025,-481642.1724,120
324,863678.4667,-472357.1724,120
325,862108,-472037,120
326,816564.4643,-462752,175
327,771020.9286,-453467,175
328,725477.3929,-444182,175
329,679933.8571,-434897,175
330,634390.3214,-425612,175
331,588846.7857,-416327,175
332,543303.25,-407042,175
333,497759.7143,-397757,175
334,452216.1786,-388472,175
335,406672.6429,-379187,175
336,361129.1071,-369902,175
337,315585.5714,-360617,175
338,270042.0357,-351332,175
339,224498.5,-342047,175
340,178954.9643,-332762,175
341,133411.4286,-323477,175
342,87867.89286,-314192,175
343,42324.35714,-304907,175
344,-3219.178571,-295622,175
345,-48762.71429,-286337,175
346,-94306.25,-277052,175
347,-139849.7857,-267767,175
348,-185393.3214,-258482,175
349,-230936.8571,-249197,175
350,-276480.3929,-239912,175
351,-322023.9286,-230627,175
352,-367567.4643,-221342,175
353,-411540.5333,-212377.1724,175
354,2137327,-732017,175
355,2137327,-732017,120
356,2093353.931,-723052.1724,120
357,2047810.395,-713767.1724,120
358,2002266.86,-704482.1724,120
359,1956723.324,-695197.1724,120
360,1911179.788,-685912.1724,120
361,1865636.252,-676627.1724,120
362,1820092.717,-667342.1724,120
363,1774549.181,-658057.1724,120
364,1729005.645,-648772.1724,120
365,1729005.645,-648772.1724,120
